Pt30,-33.44392846,-70.62392967,601.5393918137764,
Pt29,-33.44391981,-70.62394855,601.5426393896485,reja
Pt28,-33.44391354,-70.62391758,601.5326407476807,reja
Pt27,-33.44393527,-70.62391079,601.5126407476807,reja
Pt26,-33.44394146,-70.6239422,601.5476407476807,reja
Pt25,-33.44394175,-70.6239427,601.5516407476807,reja
Pt24,-33.44392102,-70.62394907,601.5556393896485,reja
Pt23,-33.44391987,-70.62394829,601.5556393896485,reja
Pt22,-33.44391575,-70.62393563,601.5916407476807,reja
Pt21,-33.4439132,-70.62391766,601.5376407476807,reja
Pt20,-33.44391333,-70.62391803,601.5326407476807,reja
Pt19,-33.44391957,-70.62394808,601.5536393896484,reja
Pt18,-33.44391351,-70.62391776,601.5386407476807,reja
Pt17,-33.44390591,-70.62390485,601.6106407476807,reja
Pt16,-33.44392995,-70.62388178,601.5136407476807,eje
Pt15,-33.44395405,-70.62393938,601.5246407476807,eje
Pt14,-33.44392726,-70.62394613,601.5586407476807,eje
Pt13,-33.44392636,-70.62394601,601.5706407476807,eje
Pt12,-33.44390422,-70.62392021,601.5606407476807,eje
Pt11,-33.44389841,-70.62389004,601.5716407476807,eje
Pt10,-33.44392952,-70.62388249,601.5196407476807,eje
Pt9,-33.4439278,-70.62388131,601.4916407476807,eje
Pt8,-33.44392796,-70.62388128,601.4806407476807,eje
Pt7,-33.44392796,-70.6238811,601.4766407476807,eje
Pt6,-33.44390828,-70.62388987,601.5316407476806,eje
Pt5,-33.44390828,-70.62388991,601.5256407476807,eje
Pt4,-33.4439081,-70.62388983,601.5286407476807,eje
Pt3,-33.44390712,-70.62388888,601.5586407476807,eje
Pt2,-33.44391974,-70.62391193,601.5826407476807,eje
Pt1,-33.44391944,-70.62391223,601.5696407476806,
